"","age","age2","dom.decid","dom.pine","dom.mixed","dom.spruce","dom.Bspr","dom.larch","dom.low","dom.open"
"BG_17_27",10.0037501656462,100.075017376667,0,0,0,1,0,0,0,0
"BG_17_28",17.1216730147866,293.151686825272,0.542091604019592,0,0,0,0,0,0,0
"BG_17_3",58.4063736475227,3411.30448265404,0.472509536935386,0.527479146597261,0,0,0,0,0,0
"BG_17_33",83.6408436597706,6995.79072811819,1,0,0,0,0,0,0,0
"BG_17_34",49.1460129409209,2415.33058798916,1,0,0,0,0,0,0,0
"BG_17_35",66.3169447364751,4397.93715918069,0,1,0,0,0,0,0,0
"BG_17_36",20,400,0,1,0,0,0,0,0,0
"BG_17_37",20,400,0,1,0,0,0,0,0,0
"BG_17_38",55.4213791603157,3071.52926803147,0,1,0,0,0,0,0,0
"BG_17_4",66.6763200260275,4445.73165221324,0,0.832801534651882,0,0.125338109735749,0,0,0,0
"BG_17_41",36.3403947907056,1320.62429354434,0,0,0,0.928148803224914,0,0,0,0
"BG_17_42",100,10000,1,0,0,0,0,0,0,0
"BG_17_45",50.337754595809,2533.88953774789,0,0.589534361454078,0,0.292081777530872,0,0,0,0
"BG_17_46",68.0181103499402,4626.46333557664,0,1,0,0,0,0,0,0
"BG_17_49",25.2700872777649,638.577311025856,0,1,0,0,0,0,0,0
"BG_17_5",67.2623651239244,4524.22576206412,0.136558341106027,0.845206620474946,0,0,0,0,0,0
"BG_17_50",70.8559669816419,5020.56805690352,1,0,0,0,0,0,0,0
"BG_17_51",31.7229173597882,1006.34348581595,0,0,0,0.74849166042027,0,0,0,0
"BG_17_52",72.1153005891668,5200.61657906588,1,0,0,0,0,0,0,0
"BG_17_55",49.627400314067,2462.87886193266,0.650685498321323,0,0,0.338150359497185,0,0,0,0
"BG_17_56",78.9222751084247,6228.72550828987,1,0,0,0,0,0,0,0
"BG_17_59",23.8567635222694,569.145165757485,0.0386614699322739,0.0347137390161498,0.425853992110494,0,0,0,0,0
"BG_17_6",55.7967623221706,3113.2786856368,0,1,0,0,0,0,0,0
"BG_17_60",64.5008981022488,4160.36585599668,1,0,0,0,0,0,0,0
"BG_17_61",77.3189947113577,5978.22694317496,1,0,0,0,0,0,0,0
"BG_17_62",13.2596283577071,175.817744184511,1,0,0,0,0,0,0,0
"BG_17_63",43.4900148825835,1891.38139448733,1,0,0,0,0,0,0,0
"BG_17_64",28.708893239316,824.200551026441,1,0,0,0,0,0,0,0
"BG_17_65",87.1593897460093,7596.75922089676,0.364595713191896,0.635386532128599,0,0,0,0,0,0
"BG_17_66",59.6480959351158,3557.89534868478,1,0,0,0,0,0,0,0
"BG_17_67",58.5765274815449,3431.20957179619,0,1,0,0,0,0,0,0
"BG_17_68",64.971242371054,4221.26233523824,0.0726666615916117,0.322503705049321,0.0427315489685836,0,0,0,0,0
"BG_17_7",78.5164063053627,6164.8260591088,0.937271040367391,0,0,0,0,0,0,0
"BG_17_73",67.0463348728379,4495.21101988072,1,0,0,0,0,0,0,0
"BG_17_74",89.9938443885679,8098.89202783378,0.896933235223424,0.0796925410948706,0,0,0,0,0,0
"BG_17_75",91.8192269210506,8430.77043237938,0.267238820419175,0.608473445438478,0,0,0,0,0,0
"BG_17_76",90.3740894155888,8167.47603769684,0.880612547566527,0.0700850625551205,0,0,0,0,0,0
"BG_17_77",99.4809990000233,9896.46916204264,0.00665186513071536,0,0.87562858194645,0,0,0,0,0
"BG_17_78",20,400,1,0,0,0,0,0,0,0
"BG_17_8",59.3926952663581,3527.49225100247,0.187307521262588,0,0,0.309881893851735,0,0,0,0
"BG_17_82",101.946534310594,10393.0958579411,0.88572528750239,0,0,0.106312294258037,0,0,0,0
"BG_17_85",87.6458527315034,7681.79550103239,0,0,0,1,0,0,0,0
"BG_17_86",53.7524714303093,2889.32818486622,0,0,0,0.561380197408569,0,0,0,0
"BG_17_89",100.612695011241,10122.9143974249,0,0,0,1,0,0,0,0
"BG_17_9",49.7679086559472,2476.8447319867,0,0.792776136525417,0,0,0,0,0,0
"BG_17_90",75.5975434130162,5714.98857008288,1,0,0,0,0,0,0,0
"BG_17_91",103.541097462998,10720.7588638421,0.628277094328341,0,0,0,0,0,0,0
"BG_17_92",20,400,0,0,1,0,0,0,0,0
"BG_17_95",49.1005187188599,2410.86093846111,1,0,0,0,0,0,0,0
"BG_17_96",98.9988703978491,9800.77634005012,0,0,0.376476179730851,0,0,0,0,0
"BG_17_99",100,10000,1,0,0,0,0,0,0,0
"BG_18_1",71.6632274614669,5135.61817019395,1,0,0,0,0,0,0,0
"BG_18_10",125.244032318432,15686.0676313803,0,0,0.496039349228375,0,0.494658666063124,0,0,0
"BG_18_100",85.2219898882677,7262.787560516,0,0,0.936712897042576,0,0,0,0,0
"BG_18_11",86.8856974489848,7549.12442119652,0.469287343711694,0,0,0,0,0,0,0
"BG_18_12",47.3298515233007,2240.11484521769,0,0,0,1,0,0,0,0
"BG_18_13",60.3166098552857,3638.09342443475,0,0,0,1,0,0,0,0
"BG_18_14",28.2984544232765,800.802522746257,0,0,0,1,0,0,0,0
"BG_18_15",92.3526366125547,8529.00948929058,0,0.337484342745795,0,0.151432730414387,0,0,0,0
"BG_18_16",81.4929844462117,6641.10651395049,0,0,0,1,0,0,0,0
"BG_18_17",89.3947010840112,7991.41258189971,0.0882626600518238,0,0.0119708780498528,0.248606950392004,0,0,0,0
"BG_18_18",87.6202650994714,7677.31085610164,0,0,0.442345943812733,0.541662866492107,0,0,0,0
"BG_18_19",93.0320058117788,8654.95410536284,0,0,0,1,0,0,0,0
"BG_18_2",103.891274272203,10793.3968699021,0.603715219864712,0,0,0,0,0,0,0
"BG_18_20",96.3524849483563,9283.80135572324,0,0,0,0,1,0,0,0
"BG_18_23",57.8797965769986,3350.07085179474,0.0644978691880206,0,0.661567545788596,0,0,0,0,0
"BG_18_24",23.3578315027713,545.588292511853,0,0,0.987408188906301,0,0,0,0,0
"BG_18_25",86.5180607774583,7485.37484069196,0,0,0,1,0,0,0,0
"BG_18_26",100.709899841498,10142.4839260847,0,0,1,0,0,0,0,0
"BG_18_27",116.142655978235,13489.1165376787,0.369500752178041,0,0.586967243717472,0,0,0,0,0
"BG_18_28",113.90050078973,12973.3240801513,0.95891554076225,0,0.04107256542417,0,0,0,0,0
"BG_18_29",112.063141606972,12558.1477068243,0,0,1,0,0,0,0,0
"BG_18_3",116.28897566763,13523.1258618267,0,0,0,0.317059871760774,0,0.546493567882581,0,0
"BG_18_30",91.8490155744793,8436.24166200094,0,0,0.235067653006839,0,0.342340055088002,0,0,0
"BG_18_33",83.3195621753891,6942.14944109852,0.495135289569661,0,0,0,0.0547003942332902,0,0,0
"BG_18_34",140,19600,0.140662501171584,0,0,0,0.791733797019818,0,0,0
"BG_18_35",132.56103505918,17572.4280159611,1,0,0,0,0,0,0,0
"BG_18_36",37.6847627010704,1420.14133983599,1,0,0,0,0,0,0,0
"BG_18_37",121.818774241206,14839.8137576298,1,0,0,0,0,0,0,0
"BG_18_38",140,19600,0.656759094666602,0,0.343221404516205,0,0,0,0,0
"BG_18_39",79.4804935780701,6317.14885941364,1,0,0,0,0,0,0,0
